title,year,name,type,character,n
Transformers: Revenge of the Fallen,2009,Leon 'Vietnam'Carswell,actor,Tribesman,
Kung ako na lang sana,2003,Artemio Abad,actor,Greg's Barkada at Party,36.0
Around the World in 80 Days,1956,Leo Abbey,actor,Extra,
"Blackbeard, the Pirate",1952,Leo Abbey,actor,Pirate,
God Is My Co-Pilot,1945,Leo Abbey,actor,Ground Crewman,
I Was an American Spy,1951,Leo Abbey,actor,Torres,
Mutiny in the Arctic,1941,Leo Abbey,actor,Eskimo,
Roaming Lady,1936,Leo Abbey,actor,Chinese Man,
Saigon,1948,Leo Abbey,actor,Sinister Driver,
Somewhere I'll Find You,1942,Leo Abbey,actor,Bartender,
The Girl from Alaska,1942,Leo Abbey,actor,Eskimo,
The King and I,1956,Leo Abbey,actor,Guard,
Tropic Zone,1953,Leo Abbey,actor,Minor Role,
The Karate Kid,1984,David Abbott,actor,Yahoo #2,29.0
"Kung kaya mo, kaya mo rin!",1996,Rey Abella,actor,Goon,33.0
Besos en la frente,1996,Leonardo Abremor,actor,Director Musical,
Amor Campesino,1990,Leonardo (IV) Abreu,actor,Amigo de José,7.0
Kung mahawi man ang ulap,1984,Tommy Abuel,actor,Prosecutor,8.0
Kung patatawarin ka ng bala ko!,1991,Rene Abutin,actor,Policeman,52.0
Ready 2 Die,2014,Leonardo Acevedo-Gonzalez,actor,Reporter Frank Bella,22.0
Meisjes,2009,Leo Achten,actor,Toon,
Terug Naar Morgen,2015,Leo Achten,actor,Professor Theo,
Tot altijd,2012,Leo Achten,actor,Robert,
Vidange perdue,2006,Leo Achten,actor,Felix,
Kung Fu Graffiti,2010,Stevie Ray Ackerman,actor,Monk,
Hot Guys with Guns,2013,Leon Acord,actor,Nathan Adler,69.0
Metalman,1999,Leon Acord,actor,Bellhop,
Open,2016,Leon Acord,actor,Richard,
Some Prefer Cake,1998,Leon Acord,actor,Devon,4.0
Amor a ritmo de go go,1966,Leo Acosta,actor,Himself,13.0
Masahol pa sa hayop,1993,Leo Adalem,actor,Capt. Adalem,34.0
Alien Ecstasy,2009,Leo (II) Adams,actor,Agent Vaslov,
Kungliga patrasket,1945,Otto Adelby,actor,Restauranggäst,
Kungen av Dalarna,1953,Georg Adelly,actor,Police constable in Mora,
